,cluster_label,price_per_stay,review_scores_rating,Neighborhood,Property,Room Type
433,4,90.0,100,Webster,House,Shared room
434,0,90.0,98,Pacific Beach,Townhouse,Private room
435,4,90.0,99,Rolando,House,Private room
436,4,90.0,97,Carmel Valley,House,Private room
437,4,90.0,96,Pacific Beach,Condominium,Private room
438,4,90.0,100,Bay Ho,House,Private room
439,5,90.0,97,Pacific Beach,Apartment,Private room
440,5,90.0,99,Rancho Bernadino,House,Private room
441,4,90.0,98,Rancho Penasquitos,House,Private room
442,5,90.0,98,Roseville,Apartment,Private room
443,5,90.0,95,East Village,Apartment,Private room
444,4,90.0,100,Darnall,House,Private room
445,4,90.0,93,Oak Park,Apartment,Private room
446,4,90.0,100,Clairemont Mesa,Condominium,Private room
447,4,90.0,100,Bay Terrace,Apartment,Private room
448,5,90.0,98,Estlake Greens,House,Private room
449,4,89.0,78,Gaslamp Quarter,Other,Private room
450,4,89.0,80,Gaslamp Quarter,Apartment,Private room
451,5,89.0,98,North Hills,House,Private room
452,4,88.0,99,Clairemont Mesa,Apartment,Private room
453,4,88.0,100,Ocean Beach,Guesthouse,Entire home/apt
454,5,87.0,98,Linda Vista,House,Private room
455,5,85.0,98,North Hills,Apartment,Private room
456,4,85.0,98,Scripps Ranch,House,Private room
457,0,84.0,91,Sky Line,House,Private room
458,4,84.0,90,Sky Line,House,Private room
459,4,84.0,90,Sky Line,House,Private room
460,4,84.0,98,Mira Mesa,Condominium,Private room
461,5,80.0,98,Moreno Mission,House,Private room
462,4,80.0,100,Rancho Penasquitos,House,Private room
463,0,80.0,98,University City,Apartment,Private room
464,4,80.0,100,La Jolla,House,Private room
465,5,80.0,100,College Area,House,Private room
466,5,80.0,100,Northwest,House,Private room
467,5,80.0,100,College Area,House,Private room
468,5,80.0,95,Mountain View,Apartment,Shared room
469,5,80.0,100,Rolando,Hostel,Shared room
470,5,80.0,95,College Area,House,Private room
471,5,80.0,100,College Area,House,Private room
472,4,80.0,96,East Village,Loft,Shared room
473,4,80.0,100,Sorrento Valley,House,Private room
474,5,80.0,90,Clairemont Mesa,Apartment,Entire home/apt
475,5,80.0,100,University City,Apartment,Private room
476,4,80.0,100,La Jolla,House,Private room
477,5,79.0,93,La Jolla,Apartment,Private room
478,0,79.0,99,Pacific Beach,House,Private room
479,4,79.0,88,Gaslamp Quarter,Other,Private room
480,5,79.0,100,Gaslamp Quarter,Other,Private room
481,4,78.0,100,Cortez Hill,Condominium,Shared room
482,5,78.0,98,Allied Gardens,House,Private room
483,5,76.0,87,Carmel Valley,Villa,Private room
484,5,75.0,100,Bay Park,House,Private room
485,5,75.0,97,University City,House,Private room
486,5,75.0,97,Bird Land,Townhouse,Private room
487,5,75.0,98,North Hills,House,Private room
488,5,75.0,95,City Heights East,House,Private room
489,4,75.0,92,Otay Ranch,House,Private room
490,5,75.0,98,Grantville,Apartment,Private room
491,4,75.0,97,University City,House,Private room
492,4,75.0,92,City Heights East,House,Private room
493,5,74.0,98,Rancho Penasquitos,House,Private room
494,4,72.0,98,Clairemont Mesa,House,Private room
495,4,72.0,100,San Carlos,House,Private room
496,5,70.0,96,Mission Bay,Apartment,Entire home/apt
497,5,70.0,95,North Hills,Apartment,Private room
498,4,70.0,99,Mira Mesa,House,Private room
499,5,70.0,100,University City,Apartment,Private room
500,4,70.0,100,Serra Mesa,House,Private room
501,4,70.0,100,North Clairemont,House,Private room
502,4,70.0,93,Paradise Hills,House,Private room
503,5,70.0,98,Mission Valley,Apartment,Private room
504,4,70.0,99,Bay Terrace,House,Shared room
505,4,70.0,87,Valencia Park,House,Private room
506,4,70.0,99,Bay Park,House,Private room
507,4,70.0,100,Serra Mesa,House,Private room
508,4,70.0,92,La Jolla,House,Private room
509,4,69.0,88,Gaslamp Quarter,Other,Private room
510,4,69.0,78,Gaslamp Quarter,Other,Private room
511,5,69.0,98,City Heights West,Condominium,Private room
512,5,67.0,97,Carmel Valley,Guest suite,Private room
513,0,66.0,98,Bay Park,House,Private room
514,4,66.0,99,Bay Terrace,Townhouse,Private room
515,4,66.0,97,East Village,Loft,Shared room
516,4,65.0,99,Carmel Valley,House,Private room
517,4,65.0,98,Northwest,House,Private room
518,5,65.0,100,South Park,House,Private room
519,4,65.0,95,Carmel Valley,House,Private room
520,4,65.0,100,Grantville,Apartment,Private room
521,5,65.0,100,Otay Ranch,Townhouse,Private room
522,5,65.0,93,Sky Line,House,Entire home/apt
523,4,65.0,96,Mission Bay,Townhouse,Private room
524,4,65.0,100,Park West,Condominium,Private room
525,4,65.0,96,Mission Bay,House,Private room
526,4,64.0,94,Clairemont Mesa,House,Private room
527,4,63.0,100,Clairemont Mesa,House,Private room
528,4,62.0,93,Southcrest,House,Private room
529,4,62.0,94,Mission Bay,Apartment,Private room
530,4,62.0,100,La Jolla,Cottage,Private room
531,4,60.0,97,North Hills,Bungalow,Private room
532,4,60.0,95,Balboa Park,House,Private room
533,4,60.0,98,Old Town,Other,Private room
534,4,60.0,98,Loma Portal,House,Private room
535,4,60.0,100,Carmel Valley,Condominium,Private room
536,5,60.0,97,La Jolla Village,Townhouse,Private room
537,4,60.0,89,Loma Portal,House,Private room
538,5,60.0,98,Bay Terrace,House,Private room
539,4,60.0,100,Clairemont Mesa,Apartment,Private room
540,5,60.0,98,Loma Portal,Apartment,Shared room
541,4,60.0,99,Serra Mesa,Condominium,Private room
542,5,60.0,97,University City,Apartment,Private room
543,5,60.0,100,Clairemont Mesa,Condominium,Private room
544,5,60.0,93,Kensington,House,Private room
545,4,60.0,93,Bay Park,House,Private room
546,4,60.0,97,Bay Park,House,Private room
547,4,60.0,100,Bay Park,House,Private room
548,4,60.0,100,Darnall,House,Private room
549,4,60.0,99,Serra Mesa,Condominium,Private room
